Social,Page url,Reg Date,Subscribers,media_kind,Post Url,media_views,post_likes,media_likes,reposts,post_views,Comments,ER Post,ER View,VR Post,Text,Date
VK,https://vk.com/club235734976,2026-03-21,1187,clip,https://vk.com/wall-235734976_48,661,13,13,0,30,0,43.33,1.97,22.03,AdsGram,2026-02-12 11:20:03 MSK
VK,https://vk.com/club235734976,2026-03-22,1187,clip,https://vk.com/wall-235734976_41,1539,7,14,2,21,1,47.62,1.10,73.29,AdsGram,2026-02-11 18:28:11 MSK
VK,https://vk.com/club235734976,2026-03-23,1187,clip,https://vk.com/wall-235734976_37,161242,67,408,15,104,3,81.73,0.26,1550.40,AdsGram,2026-02-11 11:16:02 MSK
VK,https://vk.com/club235734976,2026-03-24,1187,clip,https://vk.com/wall-235734976_32,537,2,18,0,14,0,14.29,3.35,38.36,AdsGram,2026-02-10 16:07:49 MSK
VK,https://vk.com/club235734976,2026-03-25,1187,clip,https://vk.com/wall-235734976_31,6198,7,10,1,19,0,42.11,0.18,326.21,AdsGram,2026-02-10 14:45:53 MSK
VK,https://vk.com/club235734976,2026-03-26,1187,clip,https://vk.com/wall-235734976_26,32587,21,23,26,38,0,123.68,0.15,857.55,AdsGram,2026-02-10 11:40:54 MSK
VK,https://vk.com/club235734976,2026-03-27,1187,clip,https://vk.com/wall-235734976_19,23451,212,247,58,228,5,120.61,1.32,102.86,AdsGram,2026-02-09 14:48:47 MSK
VK,https://vk.com/club235734976,2026-03-28,1187,clip,https://vk.com/wall-235734976_18,8213,14,22,7,25,0,84.00,0.35,328.52,AdsGram,2026-02-09 11:48:57 MSK
VK,https://vk.com/club235734976,2026-03-29,1187,clip,https://vk.com/wall-235734976_15,537,2,5,0,16,0,12.50,0.93,33.56,AdsGram,2026-02-08 16:41:40 MSK
VK,https://vk.com/club235734976,2026-03-30,1187,clip,https://vk.com/wall-235734976_14,381066,627,928,110,828,88,99.64,0.29,460.22,AdsGram,2026-02-08 11:22:50 MSK
VK,https://vk.com/club235734976,2026-03-31,1187,clip,https://vk.com/wall-235734976_9,514,8,11,2,17,0,58.82,2.53,30.24,AdsGram,2026-02-07 11:42:14 MSK
VK,https://vk.com/club235734976,2026-04-01,1187,clip,https://vk.com/wall-235734976_7,209,5,6,0,14,0,35.71,2.87,14.93,AdsGram,2026-02-06 11:30:36 MSK
VK,https://vk.com/club235734976,2026-04-02,1187,clip,https://vk.com/wall-235734976_6,186,3,3,3,11,0,54.55,3.23,16.91,AdsGram,2026-02-05 14:54:16 MSK
VK,https://vk.com/club235734976,2026-04-03,1187,clip,https://vk.com/wall-235734976_5,871398,3631,3182,3046,4375,179,156.71,0.66,199.18,AdsGram,2026-02-05 11:41:26 MSK
VK,https://vk.com/club235734976,2026-04-04,1187,clip,https://vk.com/wall-235734976_4,80559,40,251,23,56,2,116.07,0.34,1438.55,AdsGram,2026-02-04 11:24:49 MSK
VK,https://vk.com/club235734976,2026-04-05,1187,clip,https://vk.com/wall-235734976_3,284,3,17,1,27,0,14.81,6.34,10.52,AdsGram,2026-02-03 18:29:45 MSK
VK,https://vk.com/club235734976,2026-04-06,1187,video,https://vk.com/wall-235734976_2,5,0,,0,35,0,0.00,0.00,0.14,AdsGram,2026-02-03 11:51:48 MSK
VK,https://vk.com/club235734976,2026-04-07,1187,clip,https://vk.com/wall-235734976_1,442,10,11,6,30,0,53.33,3.85,14.73,AdsGram,2026-02-03 11:50:14 MSK
